transaction_id,sender_id,receiver_id,amount,timestamp
TX07925,U_7894,U_2486,2984,10092023:113915
TX09913,U_7686,U_2692,2870,23012023:144525
TX02712,U_1070,U_4155,4474,05022023:000211
TX04439,U_3388,U_7534,4636,04042023:195631
TX02348,U_1795,U_9064,1178,24012023:102908
TX03720,U_9834,U_1908,3294,03052023:030727
TX04152,U_7194,U_9898,3399,23012023:173641
TX08451,U_6028,U_6317,3824,14062023:061257
TX04809,U_5127,U_4552,1842,26042023:185453
TX09405,U_3249,U_2641,4503,18052023:232411
TX07324,U_3182,U_2930,531,01102023:112258
TX02601,U_2737,U_2134,4175,26092023:070417
TX07741,U_5985,U_1453,4835,09112023:141658
TX08468,U_1232,U_9829,3332,17102023:062520
TX07174,U_6569,U_4045,2668,18102023:094249
TX08974,U_8533,U_5414,2845,07012023:033153
TX04157,U_3222,U_3685,4722,17012023:113822
TX08364,U_7230,U_9427,4492,07042023:134728
TX05650,U_2181,U_4046,1252,15112023:195628
TX01392,U_9217,U_2653,2297,07062023:053125
TX04594,U_5340,U_3235,1520,25092023:171938
TX05705,U_1802,U_1637,1812,06052023:155435
TX09443,U_5302,U_9599,4912,21082023:102011
TX07206,U_6678,U_3462,3107,09052023:144957
TX09342,U_2097,U_7046,4772,13042023:175346
TX07709,U_9971,U_7051,1684,03122023:230011
TX01788,U_6203,U_6422,2037,11092023:185326
TX07728,U_8081,U_3968,4679,21012023:105307
TX09490,U_8762,U_8395,4842,11102023:172947
TX04038,U_4208,U_3871,2788,09102023:230339
TX07532,U_4431,U_2722,2037,01052023:023310
TX04699,U_8249,U_4307,1674,09012023:061942
TX09313,U_7083,U_4527,3789,08082023:030212
TX06808,U_1117,U_4767,731,28012023:031820
TX02578,U_4617,U_1584,3787,07092023:182323
TX06231,U_1729,U_4555,2834,04072023:085720
TX04672,U_7808,U_8092,4276,12102023:192936
TX04219,U_4445,U_4968,847,13092023:064738
TX02409,U_1074,U_3715,2379,01032023:062146
TX00653,BIG_CORP_A,STAFF_04,5000,03072023:162011
TX09451,U_1405,U_7242,1059,15112023:080513
TX06821,U_9196,U_5023,1818,28122023:080142
TX05380,U_6663,U_1880,325,12062023:233340
TX09207,U_3915,U_1549,2453,14082023:213824
TX04548,U_6342,U_4950,2744,19052023:160816
