transaction_id,sender_id,receiver_id,amount,timestamp
TX04649,CENTRAL_DISPERSER_24,MULE_REC_42,204,24082023:145847
TX01151,SENDER_FAN_19,CENTRAL_COLLECTOR_20,882,22012023:134327
TX04205,CENTRAL_DISPERSER_19,MULE_REC_98,872,24082023:052643
TX02551,CENTRAL_DISPERSER_3,MULE_REC_44,507,14042023:122025
TX01159,SENDER_FAN_27,CENTRAL_COLLECTOR_20,566,23122023:191032
TX02035,SENDER_FAN_62,CENTRAL_COLLECTOR_37,770,27112023:133228
TX01854,SENDER_FAN_50,CENTRAL_COLLECTOR_34,655,07022023:223721
TX00422,SENDER_FAN_0,CENTRAL_COLLECTOR_6,322,02042023:213242
TX04043,CENTRAL_DISPERSER_18,MULE_REC_36,878,23042023:130137
TX08318,BIG_CORP_B,STAFF_71,5000,02062023:074039
TX00306,SENDER_FAN_60,CENTRAL_COLLECTOR_4,882,14112023:165726
TX02163,SENDER_FAN_12,CENTRAL_COLLECTOR_39,958,27122023:031538
TX03281,CENTRAL_DISPERSER_10,MULE_REC_74,909,22012023:032749
TX01117,SENDER_FAN_21,CENTRAL_COLLECTOR_19,761,13032023:144913
TX05079,CENTRAL_DISPERSER_28,MULE_REC_72,360,24012023:061007
TX04908,CENTRAL_DISPERSER_27,MULE_REC_1,104,12042023:223554
TX01407,SENDER_FAN_29,CENTRAL_COLLECTOR_25,359,14112023:133828
TX08989,BIG_CORP_C,STAFF_42,5000,04012023:104523
TX07397,BIG_CORP_A,STAFF_50,5000,05092023:004752
TX00174,SENDER_FAN_29,CENTRAL_COLLECTOR_2,761,19092023:125643
TX05510,CENTRAL_DISPERSER_33,MULE_REC_3,986,03082023:020503
TX02674,CENTRAL_DISPERSER_4,MULE_REC_67,293,27072023:111522
TX07760,BIG_CORP_B,STAFF_13,5000,03012023:065142
TX01522,SENDER_FAN_13,CENTRAL_COLLECTOR_28,284,22082023:075853
TX02728,CENTRAL_DISPERSER_5,MULE_REC_21,360,13112023:102316
TX07284,BIG_CORP_A,STAFF_37,5000,02082023:130228
TX08591,BIG_CORP_B,STAFF_44,5000,04092023:150550
TX09186,BIG_CORP_C,STAFF_39,5000,03032023:234246
TX03438,CENTRAL_DISPERSER_12,MULE_REC_31,534,18042023:184745
TX09891,BIG_CORP_C,STAFF_44,5000,02102023:023114
TX09179,BIG_CORP_C,STAFF_32,5000,04032023:075952
TX06275,USER_678,GLOBAL_RETAIL_X,13917,13032023:191315
TX03951,CENTRAL_DISPERSER_17,MULE_REC_44,416,02012023:101511
TX05050,CENTRAL_DISPERSER_28,MULE_REC_43,226,08082023:144731
TX06559,BIG_CORP_A,STAFF_12,5000,02012023:142545
TX03727,CENTRAL_DISPERSER_15,MULE_REC_20,926,14092023:203048
TX08983,BIG_CORP_C,STAFF_36,5000,05012023:152737
TX02060,SENDER_FAN_5,CENTRAL_COLLECTOR_38,742,08122023:070943
TX09403,BIG_CORP_C,STAFF_56,5000,03052023:174329
TX05489,CENTRAL_DISPERSER_32,MULE_REC_82,350,26122023:180523
TX05118,CENTRAL_DISPERSER_29,MULE_REC_11,296,26042023:001539
TX02820,CENTRAL_DISPERSER_6,MULE_REC_13,175,17012023:212305
TX05385,CENTRAL_DISPERSER_31,MULE_REC_78,807,11012023:103751
TX08717,BIG_CORP_B,STAFF_70,5000,04102023:075736
TX04115,CENTRAL_DISPERSER_19,MULE_REC_8,697,16042023:231259
TX04316,CENTRAL_DISPERSER_21,MULE_REC_9,225,09022023:045734
TX01258,SENDER_FAN_32,CENTRAL_COLLECTOR_22,453,05122023:101119
TX01038,SENDER_FAN_27,CENTRAL_COLLECTOR_18,917,28032023:093458
TX01913,SENDER_FAN_57,CENTRAL_COLLECTOR_35,704,18052023:123801
TX00252,SENDER_FAN_6,CENTRAL_COLLECTOR_4,471,21012023:022704
TX03841,CENTRAL_DISPERSER_16,MULE_REC_34,404,28072023:211331
TX01253,SENDER_FAN_27,CENTRAL_COLLECTOR_22,254,11082023:161056
TX09147,BIG_CORP_C,STAFF_00,5000,03032023:063816
TX02062,SENDER_FAN_7,CENTRAL_COLLECTOR_38,455,20122023:062634
TX08914,BIG_CORP_B,STAFF_67,5000,04122023:114308
TX08293,BIG_CORP_B,STAFF_46,5000,03062023:023922
TX06100,CENTRAL_DISPERSER_38,MULE_REC_93,582,10042023:192030
TX06825,BIG_CORP_A,STAFF_78,5000,04032023:180619
TX04865,CENTRAL_DISPERSER_26,MULE_REC_58,605,11052023:210049
TX06541,USER_652,ENERGY_CORP_Z,16155,15102023:232623
TX07111,BIG_CORP_A,STAFF_64,5000,05062023:194411
TX03325,CENTRAL_DISPERSER_11,MULE_REC_18,245,06112023:095913
TX01623,SENDER_FAN_63,CENTRAL_COLLECTOR_30,580,03122023:072957
TX05172,CENTRAL_DISPERSER_29,MULE_REC_65,907,15082023:105610
TX04036,CENTRAL_DISPERSER_18,MULE_REC_29,982,24102023:083039
TX02681,CENTRAL_DISPERSER_4,MULE_REC_74,158,10022023:072007
TX07686,BIG_CORP_A,STAFF_39,5000,04122023:204952
TX00925,SENDER_FAN_29,CENTRAL_COLLECTOR_14,745,06062023:065216
TX08900,BIG_CORP_B,STAFF_53,5000,02122023:031622
TX07898,BIG_CORP_B,STAFF_51,5000,02022023:160145
TX00650,SENDER_FAN_16,CENTRAL_COLLECTOR_9,732,16012023:105141
TX06772,BIG_CORP_A,STAFF_25,5000,05032023:053429
TX06440,USER_860,TECH_STORE_Y,12053,12022023:185757
TX02077,SENDER_FAN_22,CENTRAL_COLLECTOR_38,290,18032023:010110
TX07237,BIG_CORP_A,STAFF_90,5000,02072023:123421
TX05009,CENTRAL_DISPERSER_28,MULE_REC_2,823,23112023:174512
TX01229,SENDER_FAN_3,CENTRAL_COLLECTOR_22,174,07022023:130357
TX08709,BIG_CORP_B,STAFF_62,5000,02102023:035623
TX09514,BIG_CORP_C,STAFF_67,5000,04062023:084843
TX04552,CENTRAL_DISPERSER_23,MULE_REC_45,209,15052023:070128
TX01772,SENDER_FAN_47,CENTRAL_COLLECTOR_33,871,16092023:140005
TX03622,CENTRAL_DISPERSER_14,MULE_REC_15,623,03012023:230056
TX00091,SENDER_FAN_23,CENTRAL_COLLECTOR_1,108,03092023:114443
TX03091,CENTRAL_DISPERSER_8,MULE_REC_84,256,18102023:051515
TX05655,CENTRAL_DISPERSER_34,MULE_REC_48,357,11012023:111618
TX07494,BIG_CORP_A,STAFF_47,5000,02102023:115341
TX08933,BIG_CORP_B,STAFF_86,5000,04122023:060625
TX09335,BIG_CORP_C,STAFF_88,5000,05042023:171631
TX09238,BIG_CORP_C,STAFF_91,5000,03032023:224419
TX07226,BIG_CORP_A,STAFF_79,5000,04072023:034814
TX06274,USER_389,GLOBAL_RETAIL_X,7891,24032023:004513
TX02259,CENTRAL_DISPERSER_0,MULE_REC_52,107,20052023:223015
TX09736,BIG_CORP_C,STAFF_89,5000,02082023:180606
TX02585,CENTRAL_DISPERSER_3,MULE_REC_78,699,05122023:144857
TX09133,BIG_CORP_C,STAFF_86,5000,02022023:074505
TX03740,CENTRAL_DISPERSER_15,MULE_REC_33,425,19102023:103030
TX01125,SENDER_FAN_29,CENTRAL_COLLECTOR_19,406,10032023:153720
TX02546,CENTRAL_DISPERSER_3,MULE_REC_39,851,20022023:233302
TX06484,USER_232,ENERGY_CORP_Z,10630,02022023:194001
TX04174,CENTRAL_DISPERSER_19,MULE_REC_67,349,24032023:061640
TX03969,CENTRAL_DISPERSER_17,MULE_REC_62,388,08072023:204940
TX09035,BIG_CORP_C,STAFF_88,5000,04012023:230318
TX07711,BIG_CORP_A,STAFF_64,5000,04122023:161318
TX01227,SENDER_FAN_1,CENTRAL_COLLECTOR_22,228,13032023:150123
TX00648,SENDER_FAN_14,CENTRAL_COLLECTOR_9,955,15062023:062552
TX08890,BIG_CORP_B,STAFF_43,5000,04122023:044635
TX03942,CENTRAL_DISPERSER_17,MULE_REC_35,954,12062023:160416
TX09687,BIG_CORP_C,STAFF_40,5000,02082023:022151
TX05468,CENTRAL_DISPERSER_32,MULE_REC_61,136,23052023:192008
TX07966,BIG_CORP_B,STAFF_19,5000,02032023:221854
TX10128,BIG_CORP_C,STAFF_81,5000,03122023:221005
TX07196,BIG_CORP_A,STAFF_49,5000,02072023:171519
TX05471,CENTRAL_DISPERSER_32,MULE_REC_64,987,23022023:094953
TX03520,CENTRAL_DISPERSER_13,MULE_REC_13,799,28052023:103033
TX03788,CENTRAL_DISPERSER_15,MULE_REC_81,166,08112023:224455
TX09402,BIG_CORP_C,STAFF_55,5000,02052023:101616
TX00536,SENDER_FAN_51,CENTRAL_COLLECTOR_7,368,14062023:204718
TX01763,SENDER_FAN_38,CENTRAL_COLLECTOR_33,134,27112023:130157
TX07791,BIG_CORP_B,STAFF_44,5000,04012023:223242
TX09323,BIG_CORP_C,STAFF_76,5000,03042023:095540
TX03692,CENTRAL_DISPERSER_14,MULE_REC_85,193,17012023:113712
TX00617,SENDER_FAN_45,CENTRAL_COLLECTOR_8,905,02032023:075737
TX09272,BIG_CORP_C,STAFF_25,5000,04042023:091006
TX09150,BIG_CORP_C,STAFF_03,5000,03032023:144015
TX00792,SENDER_FAN_68,CENTRAL_COLLECTOR_11,410,12092023:004942
TX00328,SENDER_FAN_6,CENTRAL_COLLECTOR_5,910,02122023:010513
TX07941,BIG_CORP_B,STAFF_94,5000,04022023:033537
TX04990,CENTRAL_DISPERSER_27,MULE_REC_83,451,01032023:014639
TX08112,BIG_CORP_B,STAFF_65,5000,03042023:011420
TX02001,SENDER_FAN_28,CENTRAL_COLLECTOR_37,832,13022023:195415
TX09044,BIG_CORP_C,STAFF_97,5000,04012023:070224
TX02346,CENTRAL_DISPERSER_1,MULE_REC_39,584,07022023:054842
TX02522,CENTRAL_DISPERSER_3,MULE_REC_15,850,16032023:073423
TX08951,BIG_CORP_C,STAFF_04,5000,03012023:031235
TX03263,CENTRAL_DISPERSER_10,MULE_REC_56,382,25122023:195412
TX09357,BIG_CORP_C,STAFF_10,5000,02052023:061521
TX02377,CENTRAL_DISPERSER_1,MULE_REC_70,444,13062023:034833
TX02330,CENTRAL_DISPERSER_1,MULE_REC_23,671,27032023:191937
TX05807,CENTRAL_DISPERSER_36,MULE_REC_0,592,23082023:001629
TX03432,CENTRAL_DISPERSER_12,MULE_REC_25,310,02032023:181536
TX09143,BIG_CORP_C,STAFF_96,5000,03022023:213110
TX04196,CENTRAL_DISPERSER_19,MULE_REC_89,141,17062023:103737
TX05002,CENTRAL_DISPERSER_27,MULE_REC_95,221,19032023:035150
TX05304,CENTRAL_DISPERSER_30,MULE_REC_97,721,22012023:164048
TX07924,BIG_CORP_B,STAFF_77,5000,04022023:133935
TX05937,CENTRAL_DISPERSER_37,MULE_REC_30,612,08072023:030541
TX03133,CENTRAL_DISPERSER_9,MULE_REC_26,888,18092023:163124
TX07655,BIG_CORP_A,STAFF_08,5000,05122023:023041
TX06264,USER_964,GLOBAL_RETAIL_X,4069,27032023:042712
TX05423,CENTRAL_DISPERSER_32,MULE_REC_16,109,19092023:064037
TX02323,CENTRAL_DISPERSER_1,MULE_REC_16,260,24062023:061704
TX04799,CENTRAL_DISPERSER_25,MULE_REC_92,193,07122023:005551
TX07363,BIG_CORP_A,STAFF_16,5000,03092023:111224
TX02188,SENDER_FAN_37,CENTRAL_COLLECTOR_39,238,04022023:112607
TX03282,CENTRAL_DISPERSER_10,MULE_REC_75,473,04062023:050146
TX01925,SENDER_FAN_7,CENTRAL_COLLECTOR_36,394,04062023:123851
TX03233,CENTRAL_DISPERSER_10,MULE_REC_26,501,23012023:152144
TX06433,USER_543,TECH_STORE_Y,11971,01052023:093935
TX07403,BIG_CORP_A,STAFF_56,5000,02092023:200304
TX08896,BIG_CORP_B,STAFF_49,5000,02122023:084331
TX06890,BIG_CORP_A,STAFF_43,5000,03042023:070544
TX02734,CENTRAL_DISPERSER_5,MULE_REC_27,822,06062023:151029
TX07145,BIG_CORP_A,STAFF_98,5000,04062023:175858
TX00776,SENDER_FAN_52,CENTRAL_COLLECTOR_11,797,07012023:165659
TX04567,CENTRAL_DISPERSER_23,MULE_REC_60,772,16092023:110928
TX05247,CENTRAL_DISPERSER_30,MULE_REC_40,401,22022023:092220
TX08075,BIG_CORP_B,STAFF_28,5000,05042023:062700
TX01895,SENDER_FAN_39,CENTRAL_COLLECTOR_35,889,11122023:123520
TX02706,CENTRAL_DISPERSER_4,MULE_REC_99,158,16112023:180535
TX02339,CENTRAL_DISPERSER_1,MULE_REC_32,124,05012023:012122
TX05875,CENTRAL_DISPERSER_36,MULE_REC_68,728,22012023:165922
TX05830,CENTRAL_DISPERSER_36,MULE_REC_23,917,24052023:192508
TX06111,CENTRAL_DISPERSER_39,MULE_REC_4,238,25102023:185502
TX01121,SENDER_FAN_25,CENTRAL_COLLECTOR_19,116,24012023:223402
TX05974,CENTRAL_DISPERSER_37,MULE_REC_67,239,06102023:220929
TX09453,BIG_CORP_C,STAFF_06,5000,05062023:052909
TX00200,SENDER_FAN_55,CENTRAL_COLLECTOR_2,469,19072023:161531
TX02868,CENTRAL_DISPERSER_6,MULE_REC_61,470,09062023:061247
TX03756,CENTRAL_DISPERSER_15,MULE_REC_49,565,25012023:010549
TX00572,SENDER_FAN_0,CENTRAL_COLLECTOR_8,291,03062023:101345
TX07982,BIG_CORP_B,STAFF_35,5000,02032023:134912
TX05681,CENTRAL_DISPERSER_34,MULE_REC_74,985,19052023:081022
